Episode,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10
1,2.24,3.1,3.85,6.6,8.51,11.62,13.58,9.46,9.55,9.62
2,3,3.53,4.6,6.65,8.79,11.59,13.45,9.23,9.31,9.38
3,3,3.82,4.53,7.17,9.28,12.01,13.01,8.68,8.91,8.94
4,2.6,3.6,4.71,6.82,10.25,12.36,13.29,8.55,8.88,8.96
5,3.03,3.83,4.61,6.95,9.95,12.39,13.12,8.61,8.67,9.26
6,2.75,4.25,4.82,7.32,10.13,12,13.13,8.61,8.91,8.7
7,NA,4.42,5.1,7.76,10.28,12.35,13.45,9.01,9.22,8.98
8,NA,5.06,5.35,7.41,9.023,11.09,13.26,8.95,9.69,9.19
9,NA,NA,5.7,7.41,10.67,12.65,13.44,9.03,9.5,9.34
10,NA,NA,6.74,9.45,13.51,15.05,15.9,10.04,10.34,10.05